dataset	nSamp1	nSamp2	geneID_format	inputDataType	meanVar	meanFC	maxVar	maxFC
GSE77509_normal_tumor	20	20	ensemblID	raw	0.5596	14550.8403	9.04652727360616	7030438.42472195
GSE77509_normal_ptt	20	20	ensemblID	DESeq2	0.6237	13910.8305	12.225641002046	6791472.97660016
GSE77509_ptt_tumor	20	20	ensemblID	DESeq2	0.5515	1259.829	10.0825224008345	238965.448121785
GSE68719_norm_park	44	29	ensemblID	DESeq2	0.2516	941.8906	2.88008304081497	119200.37740698
GSE64810_control_carrier	20	49	ensemblID	DESeq2	0.2651	850.4437	2.55911846652821	108147.127674743
GSE101521_control_mdd	29	21	ensemblID	DESeq2	0.303	144.92	5.79899980409653	43983.5111502679
GSE77314_normal_tumor	50	50	geneSymbol	DESeq2	0.8132	12.1568	23.5256215545813	75.700926964
GSE90749_iPSC_adipo	68	69	ensemblID	FPKM	1.7764	4.7709	40.2926417007312	24.7898679127976
GSE90749_iPSC_hepato	68	68	ensemblID	FPKM	1.4665	4.4047	33.7958954922049	23.4741782288114
GSE94631_adMono_adDC	8	11	geneSymbol	raw	0.7672	2.5534	21.2019394494805	15.4585100614098
GSE67528_CTRLiPSC_CTRLneuron	11	8	ensemblID	raw	0.5894	2.3894	12.1657642577445	11.2669345293799
GSE67528_ASDiPSC_ASDneuron	17	17	ensemblID	raw	0.5861	2.3826	11.166665567144	10.8360957556096
GSE67528_CTRLiPSC_CTRLnpc	11	9	ensemblID	raw	0.4187	2.1521	10.2878411925877	10.7254140209965
GSE58135_tripleNeg_adjTripleNeg	42	21	ensemblID	FPKM	1.2175	2.1493	21.2731934631687	11.7539744686489
GSE81046_noninf_salm	166	171	ensemblID	RSEM	2.9185	2.1431	27.7881136656309	11.0325773774099
GSE67528_ASDiPSC_ASDnpc	17	21	ensemblID	raw	0.4051	2.1261	11.872077769566	10.6412571496257
GSE58135_ERpos_adjERpos	42	30	ensemblID	FPKM	1.3145	1.7892	24.8204361737935	10.7862521454462
GSE73765_noninf_salm	60	60	ensemblID	raw	0.6416	1.6884	14.6019169899889	9.74289282797653
GSE58135_ERpos_tripleNeg	42	42	ensemblID	FPKM	1.1981	1.554	24.207703646547	8.42157464129322
GSE81089_normal_nsclc	19	199	ensemblID	raw	0.5357	1.489	8.990929013933	6.68109629244159
GSE40419_normal_cancer	77	87	geneSymbol	FPKM	0.6674	1.4174	13.1158363115925	11.0283032421851
TCGAbrca_lum_bas	723	165	entrezID	RSEM	2.9908	1.3747	27.71783287922	9.08410548137576
GSE81046_noninf_list	166	166	ensemblID	RSEM	1.8762	1.3239	16.6821226853628	8.092514976723
GSE66306_before_after	19	19	geneSymbol	FPKM	1.3368	1.319	78.2798976503304	9.06173266978502
GSE74927_neg_pos	18	18	geneSymbol	raw	0.6746	1.2889	9.69688624551981	6.85225010991556
TCGAstad_EBVneg_EBVpos	50	30	entrezID	RSEM	3.3709	1.2847	28.244472969497	6.17057190635528
GSE65540_before_after	22	22	geneSymbol	FPKM	1.2059	1.2179	96.0288762102156	6.53571151495517
GSE81046_salm_list	171	166	ensemblID	RSEM	1.687	1.2013	18.3225224140294	8.35257817472864
GSE87340_ad_nl	27	27	geneSymbol	raw	0.3554	1.149	4.57326785063235	7.77009425214789
GSE92592_control_ipf	19	20	geneSymbol	raw	0.3456	1.1029	7.11200184571648	7.78485587219753
GSE73765_noninf_list	60	60	ensemblID	raw	0.3936	1.0891	10.2796098328881	7.14021299379823
TCGAstad_msi_gs	68	75	entrezID	RSEM	3.2456	1.0836	29.7589353947747	4.58890815346099
TCGAacc_acc_mutCTNNB1	66	10	geneSymbol	RSEM	3.4991	0.9559	26.4749904625025	7.34779980155653
GSE61476_unaffectNPCday11_unaffectNPCday31	11	13	geneSymbol	raw	0.3723	0.9448	8.02011128720827	6.07882841090983
GSE73765_salm_list	60	60	ensemblID	raw	0.3421	0.8771	8.53691186080547	6.7837966246596
TCGAthca_thca_mutBRAF	194	286	geneSymbol	RSEM	2.0371	0.8522	25.1290953829363	6.44275658306415
TCGAcrc_msi_mss	47	227	entrezID	RSEM	2.4419	0.7876	29.5445938118796	4.80553299933361
TCGAlihc_lihc_mutCTNNB1	260	88	geneSymbol	RSEM	3.6586	0.7862	27.6444838965495	6.44305533187113
GSE48166_control_ICM	16	16	geneSymbol	FPKM	0.2472	0.7773	6.6373277385783	5.43530029716377
TCGAskcm_skcm_mutCTNNB1	352	11	geneSymbol	RSEM	3.2787	0.7185	25.1527601131665	4.30954964162567
